Product Name,Weight (quintal),Length (meters),Width (meters),Height (meters),Volume (cubic meters)
Product_1,2.724,0.967,1.551,0.509,0.763
Product_2,2.607,2.285,1.249,2.415,6.891
Product_3,2.99,1.021,2.109,2.363,5.089
Product_4,2.118,1.605,1.937,0.58,1.802
Product_5,2.735,2.439,0.861,1.887,3.963
Product_6,0.881,1.833,1.063,1.946,3.792
Product_7,3.09,0.589,1.184,0.766,0.535
Product_8,2.95,2.32,2.45,2.38,13.532
Product_9,4.31,1.562,2.092,0.632,2.065
Product_10,3.212,1.671,1.372,1.442,3.304
Product_11,1.975,0.547,1.2,2.299,1.509
Product_12,3.554,0.834,1.602,1.313,1.755
Product_13,4.992,1.666,2.179,1.897,6.887
Product_14,3.826,2.07,0.932,1.422,2.742
Product_15,3.708,0.693,2.024,1.565,2.195
Product_16,4.081,1.677,1.341,2.226,5.004
Product_17,3.897,1.207,2.156,1.446,3.764
Product_18,4.793,0.881,1.979,2.464,4.294
Product_19,4.597,0.811,1.506,1.11,1.356
Product_20,0.622,1.033,2.089,2.425,5.232
Product_21,2.48,2.445,1.835,1.376,6.173
Product_22,0.718,2.005,1.973,0.57,2.253
Product_23,1.08,1.142,1.752,0.582,1.165
Product_24,1.222,1.787,2.17,1.24,4.807
Product_25,3.821,2.276,1.317,0.881,2.642
Product_26,3.336,2.325,2.099,2.382,11.628
Product_27,2.93,1.083,0.829,0.534,0.48
Product_28,3.24,1.219,2.414,2.388,7.028
Product_29,1.778,2.245,1.162,1.939,5.058
Product_30,1.724,0.542,2.173,2.099,2.471
Product_31,1.578,2.206,1.52,0.666,2.232
Product_32,4.629,2.434,1.632,2.315,9.198
Product_33,3.606,0.811,1.973,2.007,3.211
Product_34,0.752,2.077,2.101,0.676,2.949
Product_35,3.568,0.955,1.935,0.667,1.233
Product_36,2.539,1.2,1.723,0.991,2.048
Product_37,0.63,1.416,1.514,1.858,3.985
Product_38,2.55,1.186,0.681,2.433,1.966
Product_39,4.488,0.986,1.469,0.702,1.018
Product_40,3.36,1.536,1.032,0.856,1.358
Product_41,2.082,2.018,1.975,0.57,2.273
Product_42,1.446,0.652,2.281,0.897,1.335
Product_43,2.961,1.22,1.585,0.919,1.778
Product_44,1.114,2.291,1.639,1.669,6.266
Product_45,0.582,0.711,1.261,1.154,1.034
Product_46,4.554,1.815,1.813,1.866,6.142
Product_47,4.986,1.417,0.767,2.301,2.502
Product_48,0.798,1.743,0.656,1.148,1.313
Product_49,1.598,0.734,1.667,0.601,0.736
Product_50,0.873,2.492,1.701,1.664,7.052
Product_51,4.304,1.819,0.957,2.004,3.487
Product_52,3.534,2.187,1.668,0.749,2.734
Product_53,3.156,2.289,0.802,1.707,3.136
Product_54,4.24,1.202,0.52,0.956,0.597
Product_55,1.791,1.311,0.756,0.64,0.634
Product_56,4.882,1.511,1.469,1.572,3.489
Product_57,3.039,1.872,1.995,1.756,6.558
Product_58,1.94,2.369,0.731,0.571,0.989
Product_59,4.765,1.092,0.709,2.199,1.702
Product_60,4.634,1.186,1.783,0.611,1.293
Product_61,1.272,1.993,1.932,2.146,8.262
Product_62,3.135,2.396,2.259,0.856,4.633
Product_63,3.942,2.027,2.445,2.212,10.959
Product_64,3.289,0.926,2.417,0.69,1.544
Product_65,4.247,2.254,1.781,1.697,6.813
Product_66,0.702,1.728,2.102,2.139,7.77
Product_67,4.964,0.507,0.853,2.344,1.014
Product_68,4.494,0.887,2.032,2.491,4.493
Product_69,2.521,2.498,0.759,2.231,4.229
Product_70,2.204,2.364,1.828,1.351,5.839
Product_71,2.543,2.245,1.459,0.58,1.899
Product_72,1.925,2.343,0.971,1.47,3.345
Product_73,4.29,1.874,2.325,0.712,3.104
Product_74,0.697,2.1,1.436,2.267,6.834
Product_75,4.213,1.804,2.477,1.11,4.957
Product_76,3.709,0.636,1.577,1.847,1.852
Product_77,2.776,0.693,2.014,2.16,3.015
Product_78,1.21,1.178,1.902,1.896,4.247
Product_79,4.813,2.27,1.469,1.49,4.965
Product_80,1.645,0.755,1.417,2.231,2.387
Product_81,4.697,2.143,2.22,1.272,6.054
Product_82,4.689,0.881,1.695,1.21,1.807
Product_83,2.971,2.296,1.098,0.736,1.856
Product_84,0.872,1.923,1.764,0.512,1.735
Product_85,0.991,1.622,1.15,1.324,2.469
Product_86,3.659,1.665,1.039,1.309,2.266
Product_87,2.211,1.141,0.582,1.761,1.17
Product_88,0.644,1.701,0.508,1.516,1.309
Product_89,2.628,1.676,0.926,2.445,3.797
Product_90,3.473,1.258,2.336,0.898,2.64
Product_91,2.593,1.579,1.033,1.007,1.644
Product_92,2.723,1.805,2.013,0.681,2.475
Product_93,3.395,1.132,1.889,1.496,3.199
Product_94,0.714,0.559,1.113,0.626,0.39
Product_95,2.24,1.738,1.157,1.495,3.006
Product_96,3.374,1.702,2.418,1.34,5.516
Product_97,2.882,1.429,1.2,0.695,1.192
Product_98,4.845,1.663,1.253,1.658,3.453
Product_99,2.679,1.666,0.933,1.072,1.666
Product_100,2.083,0.843,1.457,2.314,2.842
Product_101,3.963,1.56,1.82,1.757,4.991
Product_102,3.184,0.877,1.985,2.163,3.763
Product_103,1.2,2.364,0.597,0.973,1.373
Product_104,1.241,0.65,2.447,2.261,3.596
Product_105,0.676,0.596,1.511,1.846,1.662
Product_106,3.779,2.096,1.289,1.282,3.465
Product_107,4.787,2.496,1.987,1.783,8.843
Product_108,3.605,1.454,0.62,0.782,0.705
Product_109,1.234,1.366,2.362,1.197,3.862
Product_110,3.16,1.409,1.105,2.169,3.379
Product_111,0.542,1.095,1.174,1.764,2.268
Product_112,4.158,1.198,1.74,0.674,1.405
Product_113,0.573,1.673,1.638,1.117,3.061
Product_114,4.692,1.957,2.452,1.328,6.373
Product_115,4.072,2.279,0.677,2.464,3.801
Product_116,4.55,1.439,1.741,1.88,4.709
Product_117,3.38,0.57,0.614,1.811,0.633
Product_118,4.935,0.907,2.165,1.588,3.119
Product_119,4.069,1.218,1.853,0.666,1.504
Product_120,4.548,1.773,1.446,0.609,1.562
Product_121,2.474,2.386,1.603,1.497,5.726
Product_122,1.105,1.935,1.588,1.031,3.168
Product_123,1.707,1.566,1.805,1.208,3.414
Product_124,3.379,1.579,2.369,2.47,9.239
Product_125,3.891,0.839,0.818,2.137,1.466
Product_126,4.584,0.566,0.91,1.958,1.008
Product_127,4.995,1.355,2.396,2.203,7.152
Product_128,2.157,2.448,1.239,1.15,3.49
Product_129,4.378,0.971,1.004,1.696,1.654
Product_130,1.351,1.659,1.774,0.651,1.915
Product_131,3.935,0.793,1.758,1.049,1.463
Product_132,0.826,2.469,0.632,2.105,3.284
Product_133,0.609,1.829,1.83,1.564,5.233
Product_134,3.271,2.231,1.956,2.391,10.433
Product_135,4.291,0.719,1.46,1.683,1.767
Product_136,1.087,2.454,1.719,2.265,9.552
Product_137,1.318,1.476,0.969,1.218,1.742
Product_138,2.599,2.352,1.461,2.329,8.003
Product_139,1.868,2.457,1.146,1.752,4.935
Product_140,1.057,1.426,2.012,1.386,3.975
Product_141,4.429,0.875,1.167,2.183,2.23
Product_142,2.04,1.747,2.28,0.541,2.154
Product_143,0.927,1.912,1.205,0.874,2.013
Product_144,2.527,0.651,1.217,1.607,1.273
Product_145,1.21,1.236,0.659,1.869,1.522
Product_146,4.101,2.051,0.996,2.191,4.475
Product_147,1.84,2.037,2.398,2.005,9.798
Product_148,4.927,1.49,2.42,0.832,3.002
Product_149,2.518,2.269,1.17,0.625,1.66
Product_150,2.195,2.443,0.712,0.853,1.483
Product_151,3.246,0.51,1.23,2.149,1.347
Product_152,2.57,1.128,1.203,0.827,1.122
Product_153,4.362,0.937,2.054,1.454,2.8
Product_154,2.05,1.109,0.507,1.607,0.904
Product_155,1.468,2.349,1.885,2.017,8.931
Product_156,3.523,1.26,2.056,2.481,6.427
Product_157,3.817,1.531,1.031,2.174,3.432
Product_158,0.985,2.093,1.767,1.969,7.283
Product_159,0.71,1.121,1.974,1.533,3.39
Product_160,4.435,0.92,0.682,1.386,0.87
Product_161,2.465,2.424,0.55,0.501,0.667
Product_162,4.88,0.646,1.626,1.975,2.076
Product_163,1.782,1.846,0.643,0.946,1.122
Product_164,2.743,0.859,1.28,1.11,1.22
Product_165,3.852,1.664,1.167,2.405,4.672
Product_166,1.677,0.618,1.337,0.51,0.422
Product_167,3.85,0.9,2.143,2.306,4.45
Product_168,1.209,2.281,0.933,0.903,1.922
Product_169,1.231,1.389,2.394,1.868,6.212
Product_170,3.405,2.052,0.846,1.426,2.474
Product_171,3.271,0.708,1.811,0.929,1.191
Product_172,1.747,2.292,2.229,0.655,3.347
Product_173,3.016,1.395,2.125,0.859,2.548
Product_174,4.098,0.859,2.254,0.55,1.065
Product_175,4.013,0.974,1.798,0.756,1.323
Product_176,1.626,1.297,2.064,0.697,1.866
Product_177,1.638,0.968,1.924,0.963,1.793
Product_178,1.236,2.2,0.9,1.398,2.769
Product_179,2.832,2.468,2.244,1.604,8.883
Product_180,2.586,1.707,1.276,2.391,5.209
Product_181,4.861,1.35,1.373,0.873,1.618
Product_182,4.326,1.26,0.552,1.13,0.785
Product_183,0.73,1.751,1.868,2.409,7.881
Product_184,1.406,1.49,1.819,1.575,4.271
Product_185,0.842,1.002,1.254,0.822,1.032
Product_186,3.697,0.827,0.693,2.356,1.351
Product_187,0.522,0.795,0.869,0.748,0.517
Product_188,2.78,1.921,0.689,1.453,1.923
Product_189,4.616,0.883,1.735,2.074,3.18
Product_190,4.218,2.485,0.811,1.299,2.618
Product_191,0.952,1.579,0.906,2.389,3.42
Product_192,2.323,2.196,2.36,0.643,3.33
Product_193,1.751,1.646,1.147,1.396,2.638
Product_194,4.595,2.303,2.014,2.092,9.704
Product_195,0.524,0.532,0.628,1.74,0.581
Product_196,1.962,0.863,2.376,1.096,2.246
Product_197,4.361,1.581,1.987,1.889,5.934
Product_198,4.921,1.828,2.442,2.261,10.093
Product_199,1.502,1.153,0.887,2.403,2.458
Product_200,3.9,1.202,0.78,1.019,0.956
Product_201,1.101,0.969,1.494,1.416,2.049
Product_202,3.348,0.678,2.061,2.034,2.841
Product_203,4.22,1.056,0.85,2.357,2.114
Product_204,3.521,1.213,0.774,0.521,0.49
Product_205,2.146,1.501,1.999,0.926,2.778
Product_206,2.836,1.011,0.902,1.513,1.381
Product_207,2.52,2.119,0.772,0.911,1.489
Product_208,1.509,0.762,1.815,0.539,0.746
Product_209,1.092,0.533,2.291,2.407,2.939
Product_210,0.603,1.783,1.234,1.896,4.172
Product_211,2.606,1.766,1.565,1.155,3.192
Product_212,1.601,2.467,1.638,1.798,7.264
Product_213,4.342,0.978,1.085,0.769,0.817
Product_214,3.841,2.348,1.805,0.6,2.542
Product_215,4.833,1.807,0.637,2.239,2.577
Product_216,4.599,0.501,0.727,0.962,0.35
Product_463,4.964,0.815,0.822,1.606,1.075
Product_464,4.053,2.256,1.274,2.027,5.823
Product_467,4.789,1.314,1.979,0.888,2.31
Product_469,0.512,0.626,1.066,1.466,0.978
Product_470,1.726,2.166,1.06,2.252,5.169
Product_471,0.694,0.551,0.993,1.519,0.831
Product_475,1.87,2.09,1.83,2.254,8.618
Product_476,3.666,1.925,1.814,2.183,7.622
Product_479,1.828,0.604,1.875,1.233,1.397
Product_481,1.68,2.196,0.758,0.514,0.855
Product_482,4.606,1.044,0.962,2.44,2.451
Product_483,3.853,2.474,1.046,1.189,3.076
Product_484,3.055,1.629,1.196,2.359,4.596
Product_485,3.663,2.211,1.792,0.74,2.933
Product_488,4.656,1.252,1.424,2.055,3.665
Product_490,0.542,1.847,1.562,0.775,2.237
Product_491,3.826,1.445,2.493,1.809,6.519
Product_493,4.862,2.317,1.476,1.257,4.3
Product_495,2.626,1.766,1.635,1.246,3.598
Product_500,1.368,2.092,1.218,1.84,4.69
