City,State,Population,Gender_Ratio,Tier,Literacy_Rate,Category,Total_Sales,Discount,Assurance_Sales,Holiday_Sales,Summer_Sales,Winter_Sales,Rain_Sales,01-01-2023,01-02-2023,01-03-2023,01-04-2023,01-05-2023,01-06-2023,01-07-2023,01-08-2023,01-09-2023,01-10-2023,01-11-2023,01-12-2023
Agra,UttarPradesh,1048240,853,1,9,Home Cleaning & Bathroom Accessories,290.8,41.64,34.25,25.19,134.280305,123.1792229,33.33719129,35.77,20.83,69.56,10.11,44.29,10.33,19.77,1.21,11.79,0.57,30.39,36.19
Agra,UttarPradesh,1048240,853,1,9,Baby Care,176.16,35.66,29.5,22.07,81.34287707,74.61818312,20.19464473,2.09,36.7,9.98,39.88,17.51,13.97,1.64,6.07,9.06,3.43,18,17.83
Agra,UttarPradesh,1048240,853,1,9,Jewellery,27.96,6.63,3.25,4.09,12.91156779,11.84415605,3.205499163,0.55,1.7,9.11,0.19,2.88,0.73,0.74,0.45,0.38,1.63,2.75,6.84
Agra,UttarPradesh,1048240,853,1,9,Exercise & Fitness,430.6,45.67,51,76.63,198.838144,182.4000032,49.36468711,50.9,52.87,32.2,49.01,28.62,89.01,19.35,16.43,5.88,7.7,1.65,76.98
Agra,UttarPradesh,1048240,853,1,9,Audio & Video,16.78,4.7,1.75,0.97,7.746940674,7.10649363,1.923299498,0.46,0.05,2.78,2.92,0.77,1.28,0.69,0.12,0.55,0.56,6.17,0.43
Agra,UttarPradesh,1048240,853,1,9,Wearable Smart Devices,1881.79,67.82,287.5,43.22,868.9485122,797.1117022,215.7300937,81.36,525.03,237.05,183.87,412.24,35.78,52.53,80.48,22.31,60.42,20.5,170.22
Agra,UttarPradesh,1048240,853,1,9,Clothing and Accessories,441.79,48.28,64.25,120.94,204.0027711,187.1376656,50.64688677,114.33,7.75,8.35,16.19,163.91,15.56,2.33,39.68,6.36,2.28,31.84,33.21
Agra,UttarPradesh,1048240,853,1,9,Books,83.88,24.08,8.25,7.5,38.73470337,35.53246815,9.616497489,12.97,7.32,2.39,5.86,13.89,16.59,7.11,1.17,0.03,1.3,9.79,5.46
Agra,UttarPradesh,1048240,853,1,9,Pens & Stationery,260.04,37.06,37.5,8.43,120.0775804,110.1506513,29.81114221,10.33,43.93,16.84,16.04,41.65,45.55,7.25,10.27,0.44,11.85,29.21,26.68
Agra,UttarPradesh,1048240,853,1,9,Automotive Accessories,953.48,56.13,116.75,62.92,440.2844616,403.8857213,109.3075215,9.19,109.51,70.2,9.99,85.63,274.46,16.45,72.16,7.22,13.48,247.27,37.91
Agra,UttarPradesh,1048240,853,1,9,Furniture,466.95,50.86,60.5,1.73,215.6231821,197.797406,53.53183602,98.27,5.97,9.17,152.38,51.99,2.08,9.74,16.38,0.64,26.77,64.39,29.17
Agra,UttarPradesh,1048240,853,1,9,Food Products,836.04,57.67,79,50.73,386.0558769,354.1402659,95.84442497,78.46,7.03,4.7,36.49,55.5,289.37,17.99,18.06,45.02,14.78,244.3,24.34
Agra,UttarPradesh,1048240,853,1,9,"Bags, Wallets & Belts",13.98,2.71,1.75,0.08,6.455783895,5.922078025,1.602749581,1.73,0.57,0.07,2.2,0.48,3.7,0.07,0.28,0.55,0.7,0.82,2.8
Agra,UttarPradesh,1048240,853,1,9,Home Decor,162.18,38.52,21.25,60.23,74.88709318,68.69610509,18.59189514,5.38,1.61,13.38,23.46,29.11,8.94,1.24,3.08,2.04,12.23,56.7,5
