city,Longitude,Latitude,Current_Speed,Precip,Current_Speed_Adjusted,Date,Windspeed,Visibility
Agra,78.0081,27.1767,25,18.5,14.32432,2024-08-11,16.2,19.1
Agra,78.0081,27.1767,25,1.6,44.93671,2024-08-12,15.1,24
Agra,78.0081,27.1767,25,0.1,49.68354,2024-08-13,16.6,24.1
Agra,78.0081,27.1767,25,25.3,17.19368,2024-08-14,11.5,15.6
Agra,78.0081,27.1767,25,29.1,18.21306,2024-08-15,14.4,15.4
Agra,78.0081,27.1767,25,20.3,15.27094,2024-08-16,16.9,15.1
Agra,78.0081,27.1767,25,8.9,2.808989,2024-08-17,15.1,22.1
Agra,78.0081,27.1767,25,7.1,27.53165,2024-08-18,20.2,22.2
Agra,78.0081,27.1767,25,15.9,12.57862,2024-08-19,12.6,14
Agra,78.0081,27.1767,25,34.8,19.32471,2024-08-20,16.2,12.3
Agra,78.0081,27.1767,25,16.2,12.80864,2024-08-21,13,17.8
Agra,78.0081,27.1767,25,9.1,3.296703,2024-08-22,10.8,19.8
Agra,78.0081,27.1767,25,11.5,7.826087,2024-08-23,10.8,23.8
Agra,78.0081,27.1767,25,3.5,38.92405,2024-08-24,10.8,23.8
Agra,78.0081,27.1767,25,8.1,0.617284,2024-08-25,18,21.8
Amritsar,77.7066,28.9845,42,3.6,64.86076,2024-08-11,22.7,12.4
Amritsar,77.7066,28.9845,42,12.3,15.02439,2024-08-12,13.7,20.8
Amritsar,77.7066,28.9845,42,29.2,30.63699,2024-08-13,11.9,17.9
Amritsar,77.7066,28.9845,42,27.7,30.02166,2024-08-14,14,16.9
Amritsar,77.7066,28.9845,42,26.5,29.47925,2024-08-15,16.2,15.8
Amritsar,77.7066,28.9845,42,17.6,23.14773,2024-08-16,6.1,18.4
Amritsar,77.7066,28.9845,42,17.5,23.04,2024-08-17,12.2,22.2
Amritsar,77.7066,28.9845,42,19.5,24.98462,2024-08-18,11.5,19
Amritsar,77.7066,28.9845,42,37.2,33.08065,2024-08-19,10.2,11.4
Amritsar,77.7066,28.9845,42,37.2,33.08065,2024-08-20,11.9,15.3
Amritsar,77.7066,28.9845,42,13.6,17.60294,2024-08-21,10.8,21.3
Amritsar,77.7066,28.9845,42,26.7,29.57303,2024-08-22,11.5,20.3
Amritsar,77.7066,28.9845,42,6.2,51.03797,2024-08-23,14.8,24.1
Amritsar,77.7066,28.9845,42,27.7,30.02166,2024-08-24,18.4,21.6
Amritsar,77.7066,28.9845,42,16.9,22.36686,2024-08-25,25.2,20
Lucknow,80.9462,26.8467,22,0.5,42.60759,2024-08-11,10.8,13.8
Lucknow,80.9462,26.8467,22,18.5,12.60541,2024-08-12,11.2,21.5
Lucknow,80.9462,26.8467,22,24.4,14.87705,2024-08-13,14.4,17.5
Lucknow,80.9462,26.8467,22,20.1,13.35323,2024-08-14,6.8,16.5
Lucknow,80.9462,26.8467,22,29.2,16.04795,2024-08-15,15.8,15.3
Lucknow,80.9462,26.8467,22,25.1,15.0757,2024-08-16,15.8,22.2
Lucknow,80.9462,26.8467,22,8.7,2.022989,2024-08-17,17.3,21.6
Lucknow,80.9462,26.8467,22,7.7,22.55696,2024-08-18,11.9,23.3
Lucknow,80.9462,26.8467,22,57.8,18.99308,2024-08-19,11.5,16.2
Lucknow,80.9462,26.8467,22,32.2,16.60248,2024-08-20,16.9,18.9
Lucknow,80.9462,26.8467,22,1.7,39.26582,2024-08-21,14,24.1
Lucknow,80.9462,26.8467,22,5.5,28.68354,2024-08-22,9.4,21.3
Lucknow,80.9462,26.8467,22,4.7,30.91139,2024-08-23,9,23.6
Lucknow,80.9462,26.8467,22,12.6,8.206349,2024-08-24,19.8,21.1
Lucknow,80.9462,26.8467,22,7.2,23.94937,2024-08-25,19.9,22.1
Nizamabad,78.0946,17.0784,43,5.3,57.1519,2024-08-11,18.7,21.3
Nizamabad,78.0946,17.0784,43,0.8,81.64557,2024-08-12,14.4,23.8
Nizamabad,78.0946,17.0784,43,0.3,84.36709,2024-08-13,16.6,24.1
Nizamabad,78.0946,17.0784,43,0.4,83.82278,2024-08-14,15.1,24.1
Nizamabad,78.0946,17.0784,43,2.5,72.39241,2024-08-15,13.3,23.4
Nizamabad,78.0946,17.0784,43,3,69.67089,2024-08-16,10.1,24
Nizamabad,78.0946,17.0784,43,2.5,72.39241,2024-08-17,9.7,22.1
Nizamabad,78.0946,17.0784,43,18.6,24.73656,2024-08-18,8.6,16.7
Nizamabad,78.0946,17.0784,43,5.6,55.51899,2024-08-19,11.9,23
Nizamabad,78.0946,17.0784,43,2.1,74.56962,2024-08-20,13,23.1
Nizamabad,78.0946,17.0784,43,0.8,81.64557,2024-08-21,11.5,24.1
Nizamabad,78.0946,17.0784,43,5.2,57.6962,2024-08-22,13.7,21.8
Nizamabad,78.0946,17.0784,43,9.8,8.336735,2024-08-23,13.3,19.9
Nizamabad,78.0946,17.0784,43,0.3,84.36709,2024-08-24,16.2,24.1
Nizamabad,78.0946,17.0784,43,13.1,17.0687,2024-08-25,14,16.7
Hyderabad,78.4867,17.385,21,4.8,29.24051,2024-08-11,18.4,13.8
Hyderabad,78.4867,17.385,21,2.2,36.1519,2024-08-12,20.5,23.5
Hyderabad,78.4867,17.385,21,0.9,39.60759,2024-08-13,18.4,24.1
Hyderabad,78.4867,17.385,21,5.3,27.91139,2024-08-14,14,21.4
Hyderabad,78.4867,17.385,21,5,28.70886,2024-08-15,15.1,22.7
