,Truck Type,State,Fuel Type,Cost
132,four_six_axle_monthly,AndraPradesh,Diesel,99.11
133,four_six_axle_monthly,AndraPradesh,Electric,6.5
134,four_six_axle_monthly,AndraPradesh,Petrol,111.22
135,four_six_axle_monthly,Manipur,Diesel,89.06
136,four_six_axle_monthly,Manipur,Electric,6.0
137,four_six_axle_monthly,Manipur,Petrol,97.54
138,four_six_axle_monthly,Bihar,Diesel,94.67
139,four_six_axle_monthly,Bihar,Electric,6.75
140,four_six_axle_monthly,Bihar,Petrol,107.94
141,four_six_axle_monthly,Chandigarh,Diesel,84.26
142,four_six_axle_monthly,Chandigarh,Electric,5.5
143,four_six_axle_monthly,Chandigarh,Petrol,96.2
144,four_six_axle_monthly,Chhattisgarh,Diesel,95.59
145,four_six_axle_monthly,Chhattisgarh,Electric,5.5
146,four_six_axle_monthly,Chhattisgarh,Petrol,102.6
147,four_six_axle_monthly,Chattisgarh,Diesel,92.7
148,four_six_axle_monthly,Chattisgarh,Electric,6.0
149,four_six_axle_monthly,Chattisgarh,Petrol,96.94
150,four_six_axle_monthly,Haryana,Diesel,90.05
151,four_six_axle_monthly,Haryana,Electric,6.25
152,four_six_axle_monthly,Haryana,Petrol,97.2
153,four_six_axle_monthly,HimachalPradesh,Diesel,86.3
154,four_six_axle_monthly,HimachalPradesh,Electric,4.75
155,four_six_axle_monthly,HimachalPradesh,Petrol,97.24
156,four_six_axle_monthly,Jammu&Kashmir,Diesel,85.43
157,four_six_axle_monthly,Jammu&Kashmir,Electric,7.75
158,four_six_axle_monthly,Jammu&Kashmir,Petrol,100.13
159,four_six_axle_monthly,Jharkhand,Diesel,94.73
160,four_six_axle_monthly,Jharkhand,Electric,6.5
161,four_six_axle_monthly,Jharkhand,Petrol,99.92
162,four_six_axle_monthly,Karnataka,Diesel,89.03
163,four_six_axle_monthly,Karnataka,Electric,7.0
164,four_six_axle_monthly,Karnataka,Petrol,102.7
165,four_six_axle_monthly,Telangana,Diesel,97.7
166,four_six_axle_monthly,Telangana,Electric,5.5
167,four_six_axle_monthly,Telangana,Petrol,108.84
168,four_six_axle_monthly,MadhyaPradesh,Diesel,94.56
169,four_six_axle_monthly,MadhyaPradesh,Electric,6.25
170,four_six_axle_monthly,MadhyaPradesh,Petrol,109.36
171,four_six_axle_monthly,Maharastra,Diesel,93.45
172,four_six_axle_monthly,Maharastra,Electric,7.5
173,four_six_axle_monthly,Maharastra,Petrol,106.87
174,four_six_axle_monthly,Mizoram,Diesel,82.18
175,four_six_axle_monthly,Mizoram,Electric,5.25
176,four_six_axle_monthly,Mizoram,Petrol,95.73
